id,name,type,sex,michelin_rating ,nationality ,county,alive,,,cuisine_style
Rskykitchen,SKYKITCHEN,restaurant,NA,1,NA,be,1,,,NA
saskur,Sascha Kurgan,chef,2,1,NA,NA,1,,,NA
Rtuluslotrek,tulus lotrek,restaurant,NA,1,NA,be,1,,,NA
maxstr,Maximilian Strohe ,chef,2,1,deutsch,NA,1,,,NA
Rmaerz,Maerz - Das Restaurant,restaurant,NA,1,NA,bw,1,,,NA
benmae,Benjamin Maerz,chef,2,1,deutsch,NA,1,,,NA
Rhämmerlesrestaurantbarrique,Hämmerle's Restaurant - Barrique,restaurant,NA,1,NA,sl,1,,,NA
clihae,Cliff Hämmerle ,chef,2,1,deutsch,NA,1,,,NA
Rhalbedelsgasthaus,Halbedel's Gasthaus,restaurant,NA,1,NA,nw,1,,,NA
raihal,Rainer-Maria Halbedel,chef,2,1,deutsch,NA,1,,,NA
Ryunico,Yunico,restaurant,NA,1,NA,nw,1,,,NA
chrstu,Christian Sturm-Willms,chef,2,1,deutsch,NA,1,,,NA
Rsterneck,Sterneck,restaurant,NA,1,NA,ni,1,,,NA
marren,Marc Rennhack,chef,2,1,deutsch,NA,1,,,NA
Rmaintowerrestaurantundlounge,MAIN TOWER Restaurant & Lounge,restaurant,NA,1,NA,he,1,,,NA
marweg,Martin Weghofer,chef,2,1,deutsch,NA,1,,,NA
Rox,ox,restaurant,NA,1,NA,he,1,,,NA
davrin,David Rink,chef,2,1,deutsch,NA,1,,,NA
Rkuchersgourmet,Kucher's Gourmet,restaurant,NA,1,NA,rp,1,,,NA
flokuc,Florian Kucher,chef,2,1,NA,NA,1,,,NA
Rkook36,[KOOK] 36,restaurant,NA,1,NA,by,1,,,NA
dankle,Daniel Klein,chef,2,1,deutsch,NA,1,,,NA
steneu,Stefan Neugebauer,chef,2,1,deutsch,NA,1,,,NA
feljar,Felix Jarzina,chef,2,1,NA,NA,1,,,NA
Rbjörnsox,BjörnsOx,restaurant,NA,1,NA,th,1,,,NA
bjölei,Björn Leist,chef,2,1,deutsch,NA,1,,,NA
Rjandiekjobstrestaurant,Jan Diekjobst Restaurant,restaurant,NA,1,NA,nw,1,,,NA
jandie,Jan Diekjobst,chef,2,1,deutsch,NA,1,,,NA
Rostseelounge,ostseelounge,restaurant,NA,1,NA,mv,1,,,NA
matsto,Matthias Stolze,chef,2,1,deutsch,NA,1,,,NA
andmün,André Münch,chef,2,1,deutsch,NA,1,,,NA
andbei,André Beiersdorff,chef,2,1,deutsch,NA,1,,,NA
Rfriedrichfranz,Friedrich Franz,restaurant,NA,1,NA,mv,1,,,NA
ronsie,Ronny Siewert,chef,2,1,NA,NA,1,,,NA
Rgoldeneranker,Goldener Anker,restaurant,NA,1,NA,nw,1,,,NA
bjöfrei,Björn Freitag,chef,2,1,deutsch,NA,1,,,NA
Rrosin,Rosin,restaurant,NA,1,NA,nw,1,,,NA
fraros,Frank Rosin,chef,2,2,deutsch,NA,1,,,NA
Rgrammonsrestaurant,Grammons Restaurant,restaurant,NA,1,NA,nw,1,,,NA
dirgram,Dirk Grammon ,chef,2,1,deutsch,NA,1,,,NA
Rthestage,The Stage,restaurant,NA,1,NA,nw,1,,,NA
micdyl,Michael Dyllong,chef,2,1,deutsch,NA,1,,,NA
geomim,Georgio Mimisa,chef,2,1,NA,NA,1,,,NA
Relements,elements,restaurant,NA,1,NA,sn,1,,,NA
stemieß,Stephan Mießner,chef,2,1,deutsch,NA,1,,,NA
Rgenussatelier,Genuss-Atelier,restaurant,NA,1,NA,sn,1,,,NA
marblo,Marcus Blonkowski,chef,2,1,deutsch,NA,1,,,NA
Rhummelsgourmetstube,Hummels Gourmetstube,restaurant,NA,1,NA,by,1,,,NA
stefhum,Stefan Hummel,chef,2,1,deutsch,NA,1,,,NA
Rfalconera,falconera,restaurant,NA,1,NA,bw,1,,,NA
Rmodbysvennöthel,Mod by Sven Nöthel,restaurant,NA,1,NA,nw,1,,,NA
svenoe,Sven-Niklas Nöthel,chef,2,1,deutsch,NA,1,,,NA
R1876danieldalben,1876 Daniel Dal-Ben,restaurant,NA,1,NA,nw,1,,,NA
dandal,Daniel Dal-Ben,chef,2,1,NA,NA,1,,,NA
Ragatas,Agata's,restaurant,NA,1,NA,nw,1,,,NA
marfoe,Marcel Förster,chef,2,1,deutsch,NA,1,,,NA
Rdrkosch,DR.KOSCH,restaurant,NA,1,NA,nw,1,,,NA
voldrk,Volker Drkosch,chef,2,1,deutsch,NA,1,,,NA
Rleflair,Le Flair,restaurant,NA,1,NA,nw,1,,,NA
dancer,Dany Cerf,chef,2,1,schweizerisch,NA,1,,,NA
yosnag,Yoshizumi Nagaya,chef,2,1,japanisch,NA,1,,,NA
Rphoenix,phoenix,restaurant,NA,1,NA,nw,1,,,NA
phiwol,Philipp Wolter,chef,2,1,deutsch,NA,1,,,NA
Ryoshibynagaya,Yoshi by Nagaya,restaurant,NA,1,NA,nw,1,,,NA
Rtraube,traube,restaurant,NA,1,NA,bw,1,,,NA
brwaw,brianwawryk,chef,2,1,NA,NA,1,,,NA
Rjean,Jean,restaurant,NA,1,NA,he,1,,,NA
johfra,johannesfrankenbach,chef,2,1,NA,NA,1,,,NA
Rmerklesrestaurant,Merkles Restaurant,restaurant,NA,1,NA,bw,1,,,NA
thomer,thomasmerkle,chef,2,1,NA,NA,1,,,NA
Rtroyka,troyka,restaurant,NA,1,NA,nw,1,,,NA
alewul,alexanderwulf,chef,2,1,deutsch-russisch,NA,1,,,NA
markok,marcelkokot,chef,2,1,NA,NA,1,,,NA
Rhannappel,hannappel,restaurant,NA,1,NA,nw,1,,,NA
tobwey,tobiasweyer,chef,2,1,NA,NA,1,,,NA
Rschote,schote,restaurant,NA,1,NA,nw,1,,,NA
nelmue,nelsonmueller,chef,2,1,NA,NA,1,,,NA
,,,,,,,,,,
Rbembergshäuschen,Bembergs Häuschen,restaurant,NA,1,NA,nw,1,,,NA
filczm,Filip Czmok,chef,2,1,NA,NA,1,,,NA
Ralteschuleklassenzimmer,Alte Schule - Klassenzimmer,restaurant,NA,1,NA,mv,1,,,NA
kaylur,Kay Lurz,chef,2,1,deutsch,NA,1,,,NA
Rdasgrace,Das Grace,restaurant,NA,1,NA,sh,1,,,NA
quibru,Quirin Brundobler,chef,2,1,deutsch,NA,1,,,NA
Raltwyk,Alt Wyk,restaurant,NA,1,NA,sh,1,,,NA
rendit,René Dittrich,chef,2,1,deutsch,NA,1,,,NA
Rphilippsoldan,Philipp Soldan,restaurant,NA,1,NA,he,1,,,NA
eriarn,Erik Arnecke,chef,2,1,deutsch,NA,1,,,NA
Rcarmelogreco,Carmelo Greco,restaurant,NA,1,NA,he,1,,,NA
benrus,Benedetto Russo,chef,2,1,italienisch,NA,1,,,NA
cargre,Carmelo Greco,chef,2,1,italienisch,NA,1,,,NA
Rernosbistro,Erno's Bistro,restaurant,NA,1,NA,he,1,,,NA
valmat,Valéry Mathis,chef,2,1,NA,NA,1,,,NA
Rmasajapanesecuisine,Masa Japanese Cuisine,restaurant,NA,1,NA,he,1,,,NA
masoae,Masaru Oae,chef,2,1,japanisch,NA,1,,,NA
Rsevenswans,Seven Swans,restaurant,NA,1,NA,he,1,,,NA
ricsaw,Ricky Saward,chef,2,1,NA,NA,1,,,NA
Rweinsinn,Weinsinn,restaurant,NA,1,NA,he,1,,,NA
danple,Daniel Pletsch,chef,2,1,deutsch,NA,1,,,NA
Rmichaelsleitenberg,Michael's Leitenberg,restaurant,NA,1,NA,by,1,,,NA
micschl,Michael Schlaipfer,chef,2,1,deutsch,NA,1,,,NA
Rgenießerstube,Genießer Stube,restaurant,NA,1,NA,ni,1,,,NA
danrau,Daniel Raub,chef,2,1,deutsch,NA,1,,,NA
Rchristianandfriendstastekitchen,"Christian & Friends, Tastekitchen",restaurant,NA,1,NA,he,1,,,NA
chrste,Christian Steska,chef,2,1,deutsch,NA,1,,,NA
Rwernersrestaurant,Werners Restaurant,restaurant,NA,1,NA,bw,1,,,NA
edmsch,Edmund Schmidt,chef,2,1,deutsch,NA,1,,,NA
Reckert,eckert,restaurant,NA,1,NA,bw,1,,,NA
